date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,line
2019_01_07,tyra-2,JUb39,Tyrosine,oct_1.0,100,245,0.7,NA,NA,non-paralyzed,
2019_01_07,tyra-2,JUb39,Tyrosine,oct_1.0,100,246,9,NA,NA,non-paralyzed,
2019_01_07,tyra-2,JUb39,Tyrosine,oct_1.0,100,247,7.5,NA,NA,non-paralyzed,
2019_01_07,tyra-2,JUb39,Tyrosine,oct_1.0,100,248,9,NA,NA,non-paralyzed,
2019_01_07,tyra-2,JUb39,Tyrosine,oct_1.0,100,249,6.8,NA,NA,non-paralyzed,
2019_01_07,tyra-2,JUb39,Tyrosine,oct_1.0,100,250,7.6,NA,NA,non-paralyzed,
2019_01_07,tyra-2,JUb39,Tyrosine,oct_1.0,100,251,13.6,NA,NA,non-paralyzed,
2019_01_07,tyra-2,JUb39,Tyrosine,oct_1.0,100,252,1.6,NA,NA,non-paralyzed,
2019_01_07,tyra-2,JUb39,Tyrosine,oct_1.0,100,253,13.7,NA,NA,non-paralyzed,
2019_01_07,tyra-2,JUb39,Tyrosine,oct_1.0,100,254,5.2,NA,NA,non-paralyzed,
2019_01_07,tyra-2,JUb39,Tyrosine,oct_1.0,100,255,4.4,NA,NA,non-paralyzed,
2019_01_07,tyra-2,JUb39,Tyrosine,oct_1.0,100,256,2.5,NA,NA,non-paralyzed,
2019_01_07,tyra-2,JUb39,Tyrosine,oct_1.0,100,257,7.1,NA,NA,non-paralyzed,
2019_01_07,tyra-2,JUb39,Tyrosine,oct_1.0,100,258,2,NA,NA,non-paralyzed,
2019_01_07,tyra-2,JUb39,Tyrosine,oct_1.0,100,259,1.5,NA,NA,non-paralyzed,
2019_01_07,tyra-2,JUb39,Tyrosine,oct_1.0,100,260,4.6,NA,NA,non-paralyzed,
